Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
ASCC 59                       ;Car  ;10 20 27.6 -57 40 30.0;Op    ;OC   ;   39.60;   509; 0.050; 8.460;MWSC 1793                                                                                                         ;
NGC 3228                      ;Vel  ;10 21 25.2 -51 43 48.0;Op    ;OC   ;   21.60;   573; 0.030; 8.420;MWSC 1794                                                                                                         ;
ASCC 8                        ;Cas  ;02 20 45.6 +59 41 24.0;Op    ;OC   ;   28.80;  1801; 0.600; 7.770;MWSC 180                                                                                                          ;
Collinder 220                 ;Car  ;10 25 51.6 -57 54 54.0;Op    ;OC   ;   16.80;  1465; 0.220; 8.570;MWSC 1803                                                                                                         ;
IC 2581                       ;Car  ;10 27 36.0 -57 38 24.0;Op    ;OC   ;   19.80;  2221; 0.520; 7.320;MWSC 1805                                                                                                         ;
NGC 3231                      ;UMa  ;10 27 29.0 +66 47 53.9;Op    ;OC   ;    7.00;   715; 0.020; 9.150;MWSC 1806                                                                                                         ;
Loden 143                     ;Car  ;10 28 53.3 -58 48 18.0;Op    ;OC   ;   36.00;   619; 0.130; 8.450;MWSC 1807                                                                                                         ;
Ruprecht 89                   ;Car  ;10 28 25.7 -58 08 06.0;Op    ;OC   ;   18.60;   750; 0.040; 8.980;MWSC 1808                                                                                                         ;
Loden 172                     ;Car  ;10 27 50.4 -60 42 00.0;Op    ;OC   ;   21.60;  1415; 0.150; 8.000;MWSC 1809                                                                                                         ;
Per OB1 A                     ;Cas  ;01 58 00   +60 17 00  ;Op    ;OB   ;   84.00;  1610;      ;      ;MWSC 181                                                                                                          ;
Per OB1 D                     ;Per  ;02 22 30   +57 15 00  ;Op    ;OB   ;  180.00;  1930;      ;      ;MWSC 181                                                                                                          ;
Per OB1 C                     ;Per  ;02 13 30   +57 50 00  ;Op    ;OB   ;   30.00;  1910;      ;      ;MWSC 181                                                                                                          ;
Loden 89                      ;Vel  ;10 29 18.5 -56 46 48.0;Op    ;OC   ;   22.20;   626; 0.050; 8.300;MWSC 1812                                                                                                         ;
Loden 59                      ;Vel  ;10 30 16.1 -54 02 24.0;Op    ;OC   ;   16.80;   570; 0.060; 8.300;MWSC 1814                                                                                                         ;
Collinder 223                 ;Car  ;10 30 34.1 -59 51 18.0;Op    ;OC   ;   13.80;  1376; 0.330; 8.200;MWSC 1815                                                                                                         ;
Ruprecht 90                   ;Car  ;10 31 44.4 -58 15 00.0;Op    ;OC   ;   16.80;  2682; 0.490; 6.800;MWSC 1819                                                                                                         ;
ASCC 60                       ;Car  ;10 33 08.9 -58 28 55.2;Op    ;OC   ;   20.40;  1122; 0.160; 8.130;MWSC 1823                                                                                                         ;
Bochum 9                      ;Car  ;10 35 42.0 -60 07 48.0;Op    ;OC   ;   20.40;   940; 0.110; 8.090;MWSC 1825                                                                                                         ;
NGC 3293                      ;Car  ;10 35 49.2 -58 13 48.0;Op    ;OC   ;   16.20;  2441; 0.330; 6.750;MWSC 1826                                                                                                         ;
NGC 3324                      ;Car  ;10 37 19.2 -58 38 06.0;Op    ;OC   ;   18.00;  2361; 0.730; 6.100;MWSC 1830, [PMT2014] b                                                                                            ;In HII region Gum 31
BH 99                         ;Car  ;10 37 51.6 -59 07 30.0;Op    ;OC   ;   40.80;   517; 0.100; 8.000;MWSC 1831                                                                                                         ;
Car OB1 C                     ;Car  ;10 37 54   -58 39 00  ;Op    ;OB   ;   42.00;  2590;      ;      ;MWSC 1832                                                                                                         ;
Car OB1 D                     ;Car  ;10 33 48   -60 16 00  ;Op    ;OB   ;   24.00;  2340;      ;      ;MWSC 1832                                                                                                         ;
Car OB1 A                     ;Car  ;10 26 42   -57 38 00  ;Op    ;OB   ;   54.00;  2400;      ;      ;MWSC 1832                                                                                                         ;
Car OB1 F                     ;Car  ;10 52 54   -58 47 00  ;Op    ;OB   ;   36.00;  2760;      ;      ;MWSC 1832                                                                                                         ;
Car OB1 E                     ;Car  ;10 45 00   -59 44 00  ;Op    ;OB   ;  108.00;  2640;      ;      ;MWSC 1832                                                                                                         ;
Car OB1 B                     ;Car  ;10 37 54   -58 00 00  ;Op    ;OB   ;  120.00;  2140;      ;      ;MWSC 1832                                                                                                         ;
NGC 884                       ;Per  ;02 22 02.9 +57 08 42.0;Op    ;OC   ;   52.80;  2345; 0.560; 7.200;MWSC 184                                                                                                          ;
Melotte 101                   ;Car  ;10 42 16.1 -65 05 42.0;Op    ;OC   ;   27.60;  1999; 0.450; 8.100;MWSC 1840                                                                                                         ;
IC 2602                       ;Car  ;10 41 45.6 -64 24 00.0;Op    ;OC   ;  177.60;   151; 0.030; 8.350;MWSC 1841, Theta Car Cl                                                                                           ;
Bochum 10                     ;Car  ;10 42 26.9 -59 06 54.0;Op    ;OC   ;   21.60;  2017; 0.330; 6.930;MWSC 1842                                                                                                         ;
Alessi 5                      ;Car  ;10 43 19.2 -61 10 12.0;Op    ;OC   ;   42.00;   384; 0.210; 7.770;MWSC 1844, COCD 261                                                                                               ;
Collinder 228                 ;Car  ;10 43 55.9 -60 05 13.2;Op    ;OC   ;   33.60;  2358; 0.650; 6.680;MWSC 1845                                                                                                         ;
